204,49.827402857143,-93.822186428571
226,43.390841176471,-80.306528235294
236,50.432725294118,-121.51536941176
249,46.041822857143,-80.003286428571
250,50.664814117647,-120.16770147059
289,43.827353157895,-81.671424736842
306,51.399736363636,-105.68861454545
343,44.867606666667,-76.185949166667
365,43.575115,-79.3496
403,51.2093535,-113.591395
416,46.533415,-101.29141
418,47.829233,-71.977116333333
431,51.203033636364,-98.729934545455
437,43.70011,-79.4163
438,45.45077,-73.732935
450,45.598828,-73.003182666667
506,46.135126428571,-69.122320714286
514,46.756086666667,-90.210796666667
519,43.65139,-82.5163475
579,45.609768333333,-72.873355416667
581,47.879737307692,-70.120631923077
587,52.701578222222,-113.61985577778
604,49.30576625,-122.98475625
613,45.730585294118,-84.533588235294
639,51.636756,-106.001166
647,43.70011,-79.4163
705,46.3734695,-84.201517
709,48.280901818182,-65.717919090909
778,50.337179795918,-122.21482163265
780,53.905157692308,-113.72119576923
782,45.0743675,-63.865825
807,48.316408,-94.543308
819,46.627961538462,-80.041434615385
825,53.548798,-113.321158
867,62.30636,-105.97452333333
873,46.30292,-75.147342352941
902,45.437571052632,-70.34205
905,44.1431655,-82.4320795
